enrollment_id,enrollment_status_code,request_type_code,created_by,created_at,submitted_by,submitted_at,changed_by,changed_at
"1001","01","02","p1","2017-01-01 12:00:00","NULL","NULL","p1","2017-01-01 12:00:00"
"1002","02","02","p1","2017-01-01 12:00:00","p1","2017-01-01 13:00:00","p1","2017-01-01 13:00:00"
"1003","02","02","p1","2017-01-01 12:00:00","p1","2017-02-01 13:00:00","p1","2017-02-01 13:00:00"
"1004","02","02","p1","2017-01-01 12:00:00","p1","2017-03-01 13:00:00","p1","2017-03-01 13:00:00"
"1005","02","02","p1","2017-02-01 12:00:00","p1","2017-02-01 13:00:00","p1","2017-02-01 13:00:00"
"1006","03","02","p1","2017-03-01 12:00:00","p1","2017-04-01 13:00:00","p1","2017-04-10 13:00:00"
"1007","03","02","p1","2017-04-01 12:00:00","p1","2017-06-01 13:00:00","p1","2017-06-10 13:00:00"
"1008","04","02","p1","2017-04-01 12:00:00","p1","2017-05-01 13:00:00","p1","2017-05-09 13:00:00"
"1009","04","02","p1","2017-05-01 12:00:00","p1","2017-05-01 13:00:00","p1","2017-05-14 18:00:00"
"1010","03","02","p1","2017-05-01 12:00:00","p1","2017-10-01 13:00:00","p1","2017-10-01 13:00:00"
"1011","04","02","p1","2017-05-01 12:00:00","p1","2017-07-01 13:00:00","p1","2017-07-01 13:00:00"
"1012","04","02","p1","2017-06-01 12:00:00","p1","2017-06-01 13:00:00","p1","2017-06-01 13:00:00"
"1013","01","02","p1","2017-07-01 12:00:00","NULL","NULL","p1","2017-07-01 12:00:00"
"1014","03","02","p1","2017-08-01 12:00:00","p1","2017-09-01 13:00:00","p1","2017-09-01 13:00:00"
