entity_id,profile_id,ticket_id,name,npi,provider_type_code
"1001","0","1001","My Private Practice","1111111112","05"
"1002","0","1002","My Private Practice","1111111112","06"
"1003","0","1003","My Private Practice","1111111112","07"
"1004","0","1004","My Private Practice","1111111112","08"
"1005","0","1005","My Private Practice","1111111112","08"
"1006","0","1006","My Private Practice","1111111112","10"
"1007","0","1007","My Private Practice","1111111112","11"
"1008","0","1008","My Private Practice","1111111112","11"
"1009","0","1009","My Private Practice","1111111112","11"
"1010","0","1010","My Private Practice","1111111112","14"
"1011","0","1011","My Private Practice","1111111112","14"
"1012","0","1012","My Private Practice","1111111112","16"
"1013","0","1013","My Private Practice","1111111112","16"
"1014","0","1014","My Private Practice","1111111112","17"
