provider_type_code,license_type_code
"01","L1"
"01","L2"
"02","L3"
"03","L4"
"04","L5"
"05","L6"
"06","L7"
"07","L4"
"08","L8"
"09","L9"
"10","L0"
"11","M1"
"12","L4"
"13","M2"
"14","M3"
"15","H3"
"15","A9"
"15","L4"
"16","M4"
"17","M5"
"18","M6"
"19","M7"
"20","H1"
"20","H2"
"20","M8"
"21","M9"
"22","M0"
"23","N1"
"24","N2"
"25","L4"
"26","N3"
"27","N4"
"28","N5"
"34","A1"
"35","A2"
"35","A3"
"35","A4"
"36","A5"
"38","A6"
"39","A7"
"39","A8"
"41","A0"
"41","A9"
"42","AA"
"43","AB"
"45","AB"
"45","AC"
"46","AD"
"47","AE"
"47","AF"
"48","AE"
"51","AG"
"51","AH"
"52","AJ"
"55","AK"
"55","AL"
"57","AM"
"59","AN"
"59","B1"
"59","B2"
"61","A0"
"61","A1"
"61","A2"
"61","A3"
"61","A4"
"61","A5"
"61","A6"
"61","A7"
"61","A8"
"61","A9"
"61","AA"
"61","AB"
"61","AC"
"61","AD"
"61","AE"
"61","AF"
"61","AG"
"61","AH"
"61","AI"
"61","AJ"
"61","AK"
"61","AL"
"61","AM"
"65","AO"
"65","AP"
"66","AQ"
"66","AR"
"67","AR"
"67","AV"
"67","AW"
"67","AX"
"68","AO"
"68","AZ"
"69","AO"
