control_no,profile_id,ticket_id,works_on_reservation,maintains_own_private_practice,employed_or_contracted_by_group,criminal_conviction,civil_penalty,previous_exclusion,risk_level_code,reference_ticket_id
"1001","0","1001","N","Y","N","N","N","N","01","0"
"1002","0","1002","N","Y","N","N","N","N","03","0"
"1003","0","1003","N","Y","N","N","N","N","02","0"
"1004","0","1004","N","Y","N","N","N","N","01","0"
"1005","0","1005","N","Y","N","N","N","N","02","0"
"1006","0","1006","N","Y","N","N","N","N","02","0"
"1007","0","1007","N","Y","N","N","N","N","02","0"
"1008","0","1008","N","Y","N","N","N","N","01","0"
"1009","0","1009","N","Y","N","N","N","N","01","0"
"1010","0","1010","N","Y","N","N","N","N","03","0"
"1011","0","1011","N","Y","N","N","N","N","02","0"
"1012","0","1012","N","Y","N","N","N","N","01","0"
"1013","0","1013","N","Y","N","N","N","N","01","0"
"1014","0","1014","N","Y","N","N","N","N","02","0"
